,name,frequence
1463,Perrine,3
1464,Pervenche,1
1465,Pétronille,1
1466,Philbert,1
1467,Philibert,1
1468,Philiberte,1
1469,Philippe,9
1470,Philippine,1
1471,Philomène,2
1472,Pie,1
1473,Pierette,1
1474,Pierre,9
1475,Pierrette,6
1476,Pierrick,3
1477,Pierrine,1
1478,Pierrot,1
1479,Placide,1
1480,Precilia,1
1481,Precillia,1
1482,Prescilia,1
1483,Prescilla,1
1484,Prescillia,1
1485,Prisca,1
1486,Priscilia,1
1487,Priscilla,2
1488,Priscille,1
1489,Priscillia,2
1490,Prosper,1
1491,Prudence,1
1492,Prudent,1
1493,Prune,1
1494,Prunelle,1
1495,Pulchérie,1
1496,Quentin,5
1497,Quiterie,1
1498,Quitterie,1
1499,Rachel,5
1500,Rachèle,1
1501,Rachelle,1
1502,Radegonde,1
1503,Rafaële,1
1504,Rafaelle,1
1505,Rainier,1
1506,Raoul,3
1507,Raphaël,5
1508,Raphaële,1
1509,Raphaëlle,2
1510,Raymond,7
1511,Raymonde,6
1512,Raynald,1
1513,Rebecca,2
1514,Régina,1
1515,Réginald,1
1516,Régine,5
1517,Régis,5
1518,Reine,4
1519,Réjane,3
1520,Réjanne,1
1521,Réjeanne,1
1522,Rémi,5
1523,Rémy,5
1524,Rénald,1
1525,Renaud,4
1526,René,8
1527,Renée,7
1528,Renelde,1
1529,Renelle,1
1530,Reymond,1
1531,Reymonde,1
1532,Reynald,2
1533,Richard,6
1534,Richarde,1
1535,Rita,2
1536,Robert,7
1537,Roberte,3
1538,Robertine,1
1539,Robin,3
1540,Roch,1
1541,Rodolphe,4
1542,Rodrigue,2
1543,Rogatien,1
1544,Roger,7
1545,Roland,6
1546,Rolande,4
1547,Rolland,2
1548,Rollande,1
1549,Romain,6
1550,Romaine,1
1551,Romane,2
1552,Romaric,1
1553,Roméo,1
1554,Romuald,4
1555,Ronan,3
1556,Rosa,3
1557,Rosabelle,1
1558,Rosaire,1
1559,Rosalie,2
1560,Rosane,1
1561,Rose,6
1562,Roseline,4
1563,Roselyne,4
1564,Rosemonde,1
1565,Rosette,2
1566,Rosiane,1
1567,Rosine,2
1568,Roxane,2
1569,Rozenn,1
1570,Rudolphe,1
1571,Rudy,3
1572,Rufin,1
1573,Rufine,1
1574,Ruy,1
1575,Sabine,6
1576,Sabrina,5
1577,Sacha,2
1578,Salomé,2
1579,Salomée,1
1580,Salomon,1
1581,Samantha,3
1582,Samuel,5
1583,Samuelle,1
1584,Sandie,2
1585,Sandra,6
1586,Sandrina,1
1587,Sandrine,7
1588,Sandy,3
1589,Sara,2
1590,Sarah,5
1591,Saturnin,1
1592,Sauveur,1
1593,Savine,1
1594,Savinien,1
1595,Scholastique,1
1596,Sébastien,8
1597,Sébastienne,1
1598,Ségolène,2
1599,Séraphin,1
1600,Séraphine,1
1601,Serge,7
1602,Sergine,1
1603,Serine,1
1604,Servais,1
1605,Servan,1
1606,Servane,1
1607,Servanne,1
1608,Séverin,1
1609,Séverine,6
1610,Sidoine,1
1611,Sidonie,2
1612,Sigismond,1
1613,Sigolène,1
1614,Silvain,1
1615,Silvaine,1
1616,Silvère,1
1617,Silviane,1
1618,Silvie,1
1619,Siméon,1
1620,Simon,5
1621,Simone,7
1622,Simonette,1
1623,Simonne,5
1624,Sixte,1
1625,Sixtine,1
1626,Sloane,1
1627,Soazic,1
1628,Soazig,1
1629,Soizic,2
1630,Solange,6
1631,Solen,1
1632,Solène,3
1633,Solenne,1
1634,Soline,1
1635,Sonia,6
1636,Sophie,7
1637,Sosthène,1
1638,Stanislas,3
1639,Steeve,2
1640,Steeven,1
1641,Stéfane,1
1642,Stéphan,3
1643,Stéphane,8
1644,Stéphanette,1
1645,Stéphanie,7
1646,Steven,3
1647,Sullivan,1
1648,Sulpice,1
1649,Suzanne,7
1650,Suzel,1
1651,Suzelle,1
1652,Suzette,2
1653,Suzon,1
1654,Suzy,2
1655,Swan,1
1656,Swann,1
1657,Sylvain,6
1658,Sylvaine,3
1659,Sylvane,1
1660,Sylvanie,1
1661,Sylvère,1
1662,Sylvestre,1
1663,Sylvette,3
1664,Sylvia,4
1665,Sylvian,1
1666,Sylviane,5
1667,Sylvianne,1
1668,Sylvie,8
1669,Sylvine,1
1670,Symphorien,1
1671,Tancrède,1
1672,Tangi,1
1673,Tanguy,2
1674,Tania,2
1675,Tatiana,3
1676,Teddy,3
1677,Thaddée,1
1678,Thaïs,1
1679,Thalia,1
1680,Thalie,1
1681,Théau,1
1682,Théo,4
1683,Théodora,1
1684,Théodore,2
1685,Théodorine,1
1686,Théodose,1
1687,Théodule,1
1688,Théophane,1
1689,Théophile,2
1690,Théotime,1
1691,Thérèse,7
1692,Thérèsine,1
1693,Thérèze,1
1694,Thibaud,2
1695,Thibault,4
1696,Thibaut,3
1697,Thiébaud,1
1698,Thierry,8
1699,Thiery,1
1700,Thimothée,1
1701,Thiphaine,1
1702,Thomas,6
1703,Tiburce,1
1704,Tifaine,1
1705,Tifanie,1
1706,Tifany,1
1707,Tifenn,1
1708,Tiffany,2
1709,Timothé,1
1710,Timothée,2
1711,Tiphaine,3
1712,Tiphanie,1
1713,Tiphany,1
1714,Tommy,1
1715,Tony,5
1716,Toussaint,1
1717,Toussainte,1
1718,Tressy,1
1719,Trinité,1
1720,Tristan,3
1721,Tugdual,1
1722,Typhaine,1
1723,Typhanie,1
1724,Ulysse,1
1725,Uranie,1
1726,Urbain,1
1727,Urbaine,1
1728,Uriel,1
1729,Urielle,1
1730,Ursule,1
1731,Valène,1
1732,Valentin,4
1733,Valentine,3
1734,Valère,1
1735,Valériane,1
1736,Valérianne,1
1737,Valérie,8
1738,Valérien,1
1739,Valérine,1
1740,Valéry,2
1741,Vanessa,5
1742,Vannessa,1
1743,Véra,1
1744,Vérane,1
1745,Vérène,1
1746,Véronique,7
1747,Vianney,1
1748,Victoire,2
1749,Victor,5
1750,Victoria,3
1751,Victorien,1
1752,Victorin,1
1753,Victorine,2
1754,Vincent,7
1755,Vincente,1
1756,Vincentine,1
1757,Vinciane,1
1758,Vincianne,1
1759,Violaine,2
1760,Violène,1
1761,Violette,3
1762,Virgile,2
1763,Virginie,7
1764,Viridiana,1
1765,Vitaline,1
1766,Vivette,1
1767,Vivian,1
1768,Viviane,5
1769,Vivien,2
1770,Vivienne,1
1771,Voltaire,1
1772,Wandrille,1
1773,Wilfrid,2
1774,William,5
1775,Willy,3
1776,Xavier,6
1777,Xavière,1
1778,Yaël,1
1779,Yaëlle,1
1780,Yana,1
1781,Yann,5
1782,Yanne,1
1783,Yannick,6
1784,Yannig,1
1785,Yasmina,3
1786,Ynès,1
1787,Yoan,2
1788,Yoann,4
1789,Yolaine,2
1790,Yoland,1
1791,Yolande,5
1792,Yolène,1
1793,Ysaline,1
1794,Yseult,1
1795,Yuna,1
1796,Yvain,1
1797,Yvan,4
1798,Yvana,1
1799,Yvane,1
1800,Yvanie,1
1801,Yvanna,1
1802,Yvanne,1
1803,Yveline,3
1804,Yvelise,1
1805,Yvelyne,1
1806,Yves,7
1807,Yvette,7
1808,Yvon,5
1809,Yvonne,7
1810,Yvonnette,1
1811,Yvonnick,1
1812,Zacharia,1
1813,Zacharie,1
1814,Zélie,1
1815,Zéphir,1
1816,Zéphirin,1
1817,Zéphirine,1
1818,Zéphyr,1
1819,Zoé,2
1820,Zulma,1
