,name,frequence
348,Carmen,4
349,Carol,2
350,Carolane,1
351,Carolanne,1
352,Carole,6
353,Caroline,6
354,Carolle,1
355,Casimir,1
356,Cassandra,2
357,Cassandre,1
358,Cassiopée,1
359,Cassy,1
360,Catheline,1
361,Cathelyne,1
362,Catherine,8
363,Caty,1
364,Cécile,7
365,Cécilia,3
366,Cédric,7
367,Cédrick,1
368,Cédrik,1
369,Cédrine,1
370,Célénie,1
371,Céleste,1
372,Célestin,1
373,Célestine,2
374,Célia,4
375,Célian,1
376,Céliane,1
377,Célie,1
378,Célien,1
379,Célina,1
380,Céline,7
381,Célyne,1
382,Cendrine,1
383,Cerine,1
384,Cerise,1
385,Césaire,1
386,César,1
387,Césarine,1
388,Chanel,1
389,Chanelle,1
390,Chantal,7
391,Chantale,2
392,Chantalle,1
393,Charlaine,1
394,Charlemagne,1
395,Charlène,3
396,Charles,6
397,Charlette,1
398,Charleyne,1
399,Charline,3
400,Charlot,1
401,Charlotte,5
402,Charly,2
403,Charlyne,1
404,Chimène,1
405,Chloé,5
406,Chloée,1
407,Chrétien,1
408,Chrislaine,1
409,Christabelle,1
410,Christel,4
411,Christèle,3
412,Christelle,7
413,Christian,8
414,Christiane,7
415,Christianne,2
416,Christina,2
417,Christine,8
418,Christophe,8
419,Chrystal,1
420,Chrystel,2
421,Chrystèle,2
422,Chrystelle,3
423,Cindy,5
424,Cinthia,1
425,Cinthya,1
426,Claire,7
427,Clairette,1
428,Clara,4
429,Clarine,1
430,Clarisse,3
431,Clarysse,1
432,Claude,9
433,Claudette,5
434,Claudia,3
435,Claudiane,1
436,Claudie,4
437,Claudine,7
438,Claudy,1
439,Clélia,1
440,Clélie,1
441,Clémence,4
442,Clément,5
443,Clémente,1
444,Clémentin,1
445,Clémentine,3
446,Cléo,1
447,Clet,1
448,Clodette,1
449,Cloé,1
450,Clorinde,1
451,Clotaire,1
452,Clothilde,1
453,Clotilde,3
454,Clovis,1
455,Colas,1
456,Colette,7
457,Coline,2
458,Colombe,1
459,Colombine,1
460,Côme,1
461,Constance,2
462,Constant,2
463,Constantin,1
464,Constantine,1
465,Coralie,4
466,Coraline,1
467,Coraly,1
468,Coralyne,1
469,Corantin,1
470,Corentin,4
471,Corentine,1
472,Corinne,7
473,Corneille,1
474,Cornélie,1
475,Corrine,1
476,Cosette,1
477,Cosme,1
478,Crépin,1
479,Cristèle,1
480,Cristelle,1
481,Crystèle,1
482,Crystelle,1
483,Cynthia,3
484,Cyprien,1
485,Cyprienne,1
486,Cyr,1
487,Cyriaque,1
488,Cyrielle,2
489,Cyril,6
490,Cyrille,5
491,Damase,1
492,Damia,1
493,Damien,6
494,Damienne,1
495,Dania,1
496,Danie,1
497,Daniel,8
498,Danièle,6
499,Danielle,7
500,Dany,4
501,Daphné,1
502,Daphnée,1
503,David,8
504,Débora,1
505,Déborah,4
506,Delphin,1
507,Delphine,6
508,Denis,7
509,Denise,7
510,Denys,1
511,Denyse,1
512,Désiré,2
513,Désirée,1
514,Diana,2
515,Diane,3
516,Didier,7
517,Dieudonné,1
518,Dilan,1
519,Dimitri,4
520,Dolorès,3
521,Dominique,8
522,Domitille,1
523,Donatien,1
524,Donatienne,1
525,Donavan,1
526,Dorian,3
527,Doriane,2
528,Dorianne,1
529,Dorine,1
530,Dorinne,1
531,Doris,2
532,Dorothée,4
533,Dylane,1
534,Eddie,2
535,Eddy,4
536,Edern,1
537,Edgard,1
538,Edith,5
539,Edmé,1
540,Edmée,1
541,Edmond,4
542,Edmonde,2
543,Edouard,5
544,Edwige,4
545,Eglantine,1
546,Élaine,1
547,Eléonore,3
548,Eliane,6
549,Elie,4
550,Eliette,2
551,Eline,1
552,Elisabelle,1
553,Elisabeth,7
554,Elise,5
555,Elisée,1
556,Ellyn,1
557,Elodie,6
558,Elody,1
559,Eloi,1
560,Elouan,1
561,Elphège,1
562,Elric,1
563,Elsa,3
564,Elvine,1
565,Elvire,1
566,Elyane,1
567,Elyes,1
568,Elyette,1
569,Elyne,1
570,Elysa,1
571,Emanuelle,1
572,Emeline,3
573,Emelyne,1
574,Emeraude,1
575,Emeric,2
576,Emie,1
577,Emilie,6
578,Emilien,3
579,Emilienne,4
580,Emma,4
581,Emmanuel,6
582,Emmanuelle,6
583,Emmeline,1
584,Enguerran,1
585,Enguerrand,1
586,Enora,1
587,Ephrem,1
588,Epiphanie,1
589,Éponine,1
590,Eric,8
591,Erick,2
592,Ericka,1
593,Ernest,4
594,Ernestine,2
595,Erwan,4
596,Erwann,1
597,Espérance,1
598,Estel,1
599,Estèle,1
600,Estelle,5
601,Esthel,1
602,Esther,3
603,Etienne,5
604,Etiennette,2
605,Eudes,1
606,Eudoxie,1
607,Eugène,5
608,Eugénie,4
609,Eulalie,1
610,Euloge,1
611,Eunice,1
612,Euphrasie,1
613,Eurielle,1
614,Eurydice,1
615,Eusèbe,1
616,Eustache,1
617,Eutrope,1
618,Eva,4
619,Evangeline,1
620,Evariste,1
621,Ève,3
622,Evelyne,7
623,Evie,1
624,Evrard,1
625,Fabien,6
626,Fabienne,6
627,Fabiola,1
628,Fabrice,7
629,Fanch,1
630,Fanchon,1
631,Fanélie,1
632,Fanette,1
633,Fanny,5
634,Fantine,1
635,Fany,1
636,Faustin,1
637,Faustine,1
638,Félicia,1
639,Félicie,2
640,Félicien,1
641,Félicienne,1
642,Félicité,1
643,Félix,4
644,Ferdinand,2
645,Fernand,5
646,Fernande,5
647,Ferréol,1
648,Fiacre,1
649,Fidèle,1
650,Fideline,1
651,Firmin,1
652,Firmine,1
653,Flavie,2
654,Flavien,2
655,Flavienne,1
656,Fleur,1
657,Fleurette,1
658,Fleuriane,1
659,Fleurine,1
660,Fleury,1
661,Flora,3
662,Floran,1
663,Florane,1
664,Flore,2
665,Floréal,1
666,Florelle,1
667,Florence,7
668,Florent,5
669,Florentine,1
670,Florestan,1
671,Florestine,1
672,Florette,1
673,Florian,5
674,Floriane,3
675,Florianne,1
676,Floriant,1
677,Florie,1
678,Florien,1
679,Florient,1
680,Florimond,1
681,Florine,2
682,Floris,1
683,Fortuné,1
684,Fortunée,1
685,France,6
686,Franceline,1
687,Francelyne,1
688,Francette,2
689,Franciane,1
690,Francine,6
691,Francis,7
692,Francisque,1
693,Franck,7
694,Franckie,1
695,Francky,1
696,François,8
697,Françoise,8
698,Frank,3
699,Freddy,3
700,Frédéric,8
701,Frederica,1
702,Frédérick,2
703,Frédérique,5
704,Fulbert,1
705,Fulgence,1
706,Gabin,1
707,Gabriel,5
708,Gabrielle,5
709,Gaby,1
710,Gaël,4
711,Gaëla,1
712,Gaële,1
713,Gaëlla,1
714,Gaëlle,5
715,Gaëtan,4
716,Gaétane,2
717,Gaétanne,1
718,Galatée,1
719,Ganaël,1
720,Ganaëlle,1
721,Garance,1
722,Gaspard,1
723,Gaston,4
724,Gastonne,1
725,Gatien,1
726,Gatienne,1
727,Gaultier,1
728,Gauthier,2
729,Gautier,2
730,Gauvain,1
731,Geneviève,7
732,Gentiane,1
733,Geoffrey,3
734,Geoffroy,2
735,George,1
736,Georges,7
737,Georgette,6
738,Georgie,1
739,Georgine,1
740,Gérald,4
741,Géralde,1
742,Géraldine,5
743,Gérard,8
744,Gérarde,1
745,Gérardine,1
746,Géraud,1
747,Germain,3
748,Germaine,6
749,Gérôme,1
750,Gersende,1
751,Gervais,1
752,Gervaise,1
753,Géry,1
754,Ghislain,3
755,Ghislaine,6
756,Ghyslain,1
757,Ghyslaine,1
758,Gil,1
759,Gilbert,7
760,Gilberte,5
761,Gildas,2
762,Gilette,1
763,Giliane,1
764,Gille,1
765,Gilles,7
766,Gillette,1
767,Gilliane,1
768,Ginette,6
769,Giovanni,2
770,Girard,1
771,Gisèle,6
772,Giselle,2
773,Gislain,1
774,Gislaine,2
775,Gislène,1
776,Gismonde,1
777,Gladys,2
778,Glwadys,1
779,Godefroy,1
780,Godeleine,1
781,Gontran,1
782,Gonzague,1
783,Goulven,1
784,Gracianne,1
785,Gracieuse,1
786,Gratianne,1
787,Gratien,1
788,Gratienne,1
789,Grégoire,3
790,Grégorie,1
791,Grégory,6
792,Guénaëlle,1
793,Guenièvre,1
794,Guénolé,1
795,Guerric,1
796,Guewen,1
797,Guibert,1
798,Guilain,1
799,Guilaine,1
800,Guilène,1
801,Guilhem,2
802,Guillain,1
803,Guillaine,1
804,Guillaume,7
805,Guillaumette,1
806,Guillemette,1
807,Guislain,1
808,Guislaine,1
809,Gurvan,1
810,Gustave,3
811,Guy,7
812,Guylain,1
813,Guylaine,2
814,Guylène,2
815,Guyonne,1
